device_type time pose pose-last_pose vel comanded_vel Nocap_C_vel
H 2291.397633278 56.0 0.0 -162.8819750299002 -389.74 -100
E 2291.452643296 30.0 0.0 -68.15532667104787 -189.87333333333333 -100
H 2291.456421168 44.0 0.0 -204.12367240913878 -419.72 -100
E 2291.501645676 26.0 0.0 -81.62868823952444 -269.82 -100
H 2291.505323980 34.0 0.0 -204.48721844440215 -409.7266666666667 -100
E 2291.550647832 21.0 0.0 -102.03632672833162 -319.7866666666667 -100
H 2291.554424584 24.0 0.0 -203.66348242819058 -419.72 -100
E 2291.599763010 17.0 0.0 -81.44121965687054 -339.77333333333337 -100
H 2291.603440726 15.0 0.0 -183.61298202613875 -419.72 -100
E 2291.658452886 12.0 0.0 -85.1935689899557 -279.81333333333333 -100
H 2291.662131372 4.0 0.0 -187.423392817082 -419.72 -100
E 2291.707455042 8.0 0.0 -81.62906138190776 -219.85333333333335 -100
H 2291.711143188 3.0 0.0 -20.403243169111565 -419.72 -100
E 2291.756457310 5.0 0.0 -61.2216561082854 -169.88666666666668 -100
H 2291.760045076 3.0 0.0 0.0 -419.72 -100
E 2291.805572516 4.0 0.0 -20.36029330698204 -19.986666666666668 -19.986666666666668
H 2291.809250764 3.0 0.0 0.0 -429.71333333333337 -100
E 2291.864262224 5.0 0.0 17.038762571528046 0 0
H 2291.867853280 3.0 0.0 0.0 -439.7066666666667 -100
E 2291.913264478 6.0 0.0 20.40722453287648 219.85333333333335 100
H 2291.916855702 3.0 0.0 0.0 -459.6933333333334 -100
E 2291.962266578 10.0 0.0 81.6291546695517 409.7266666666667 100
H 2291.966135086 3.0 0.0 0.0 -449.70000000000005 -100
E 2292.031381910 15.0 0.0 72.34284861676703 449.70000000000005 100
H 2292.035056938 3.0 0.0 0.0 -399.73333333333335 -100
E 2292.090071436 23.0 0.0 136.31052327837966 489.67333333333335 100
H 2292.093836414 3.0 0.0 0.0 -389.74 -100
E 2292.139073732 29.0 0.0 122.44324225184576 519.6533333333334 100
H 2292.142840068 3.0 0.0 0.0 -379.74666666666667 -100
E 2292.188075958 36.0 0.0 142.8506533557878 539.64 100
H 2292.191931446 4.0 0.0 20.370175797486663 -319.7866666666667 -100
E 2292.237191262 42.0 0.0 122.16151609226661 559.6266666666667 100
H 2292.241144078 4.0 0.0 0.0 -199.86666666666667 -100
E 2292.295880830 50.0 0.0 136.31042573049143 579.6133333333333 100
H 2292.299735842 4.0 0.0 0.0 -9.993333333333334 -9.993333333333334
E 2292.344883140 56.0 0.0 122.44320726894507 579.6133333333333 100
H 2292.348865034 5.0 0.0 20.354497179501347 0 0
E 2292.393885394 62.0 0.0 122.44334719839516 589.6066666666667 100
H 2292.397741246 6.0 0.0 20.459850693885517 0 0
E 2292.443000614 68.0 0.0 122.16172502078075 589.6066666666667 100
H 2292.446854086 6.0 0.0 0.0 19.986666666666668 19.986666666666668
E 2292.501690196 75.0 0.0 119.27159406304779 599.6 100
H 2292.505639176 10.0 0.0 68.04446501640557 149.9 100
E 2292.550692548 81.0 0.0 122.44310232263555 609.5933333333334 100
H 2292.554547504 16.0 0.0 122.67849352791629 199.86666666666667 100
