device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T
E 1434.196706804 59.0 80.0 100.0 50 45
H 1434.200561634 3.0 22.0 100.0 50 45
E 1434.245709128 59.0 80.0 100.0 50 45
H 1434.249652508 3.0 21.0 100.0 50 45
E 1434.294825314 59.0 79.0 100.0 50 45
H 1434.298680774 3.0 20.0 100.0 50 45
E 1434.353514098 59.0 75.0 100.0 50 45
H 1434.357511336 3.0 19.0 100.0 50 45
E 1434.402516156 59.0 73.0 100.0 50 45
H 1434.406371210 3.0 18.0 100.0 50 45
E 1434.451518452 59.0 73.0 100.0 50 45
H 1434.455374094 3.0 18.0 100.0 50 45
E 1434.500634792 60.0 72.0 100.0 50 45
H 1434.504576954 3.0 19.0 100.0 50 45
E 1434.559323394 60.0 72.0 100.0 50 45
H 1434.563178742 3.0 20.0 100.0 50 45
E 1434.608325704 60.0 75.0 97.0 50 45
H 1434.612145926 3.0 21.0 100.0 50 45
E 1434.657327790 59.0 78.0 89.0 50 45
H 1434.661006038 3.0 22.0 100.0 50 45
E 1434.706444144 60.0 80.0 78.0 50 45
H 1434.710119690 3.0 23.0 100.0 50 45
E 1434.765132970 60.0 81.0 67.0 50 45
H 1434.768900146 3.0 23.0 100.0 50 45
E 1434.814135280 60.0 81.0 61.0 50 45
H 1434.817814256 3.0 22.0 100.0 50 45
E 1434.863137198 60.0 83.0 55.0 50 45
H 1434.866959058 3.0 22.0 100.0 50 45
E 1434.912253748 60.0 84.0 49.0 50 45
H 1434.916021162 3.0 22.0 100.0 50 45
E 1434.970942154 60.0 84.0 42.0 50 45
H 1434.974620934 3.0 21.0 100.0 50 45
E 1435.039944478 61.0 84.0 38.0 50 45
H 1435.043534442 3.0 19.0 100.0 50 45
E 1435.088946676 61.0 80.0 34.0 50 45
H 1435.092536920 3.0 18.0 100.0 50 45
E 1435.138062848 61.0 77.0 32.0 50 45
H 1435.141829786 3.0 18.0 100.0 50 45
E 1435.196751772 62.0 74.0 30.0 50 45
H 1435.200431252 3.0 19.0 99.0 50 45
E 1435.245753662 62.0 67.0 31.0 50 45
H 1435.249432974 3.0 20.0 94.0 50 45
E 1435.294756126 62.0 60.0 36.0 50 45
H 1435.298435494 3.0 19.0 94.0 50 45
E 1435.343872382 62.0 53.0 40.0 50 45
H 1435.347781966 3.0 19.0 92.0 50 45
E 1435.402560942 62.0 47.0 46.0 50 45
H 1435.406237216 3.0 18.0 83.0 50 45
E 1435.451563280 61.0 42.0 55.0 50 45
H 1435.455243558 3.0 17.0 77.0 50 45
E 1435.500565520 61.0 38.0 67.0 50 45
H 1435.504242788 3.0 17.0 73.0 50 45
E 1435.549682084 61.0 34.0 78.0 50 45
H 1435.553593012 3.0 17.0 70.0 50 45
E 1435.608370406 60.0 31.0 78.0 50 45
H 1435.612047968 3.0 17.0 70.0 50 45
E 1435.657372828 57.0 31.0 73.0 50 45
H 1435.661050488 3.0 16.0 69.0 50 45
E 1435.706374872 56.0 35.0 68.0 50 45
H 1435.710053260 3.0 15.0 68.0 50 45
E 1435.756044870 55.0 38.0 62.0 50 45
H 1435.759954062 3.0 15.0 67.0 50 45
E 1435.814179828 55.0 40.0 57.0 50 45
H 1435.817856368 3.0 15.0 66.0 50 45
E 1435.863182292 55.0 42.0 51.0 50 45
H 1435.866861352 3.0 15.0 62.0 50 45
E 1435.912184294 55.0 44.0 44.0 50 45
H 1435.915863634 3.0 14.0 60.0 50 45
E 1435.961301096 56.0 45.0 39.0 50 45
H 1435.965211254 3.0 14.0 61.0 50 45
E 1436.039989180 55.0 50.0 34.0 50 45
H 1436.043578976 3.0 14.0 63.0 50 45
E 1436.088991504 55.0 54.0 30.0 50 45
H 1436.092581258 3.0 14.0 63.0 50 45
E 1436.137993688 56.0 55.0 28.0 50 45
H 1436.141672930 3.0 14.0 60.0 50 45
E 1436.187110616 55.0 56.0 25.0 50 45
H 1436.191019234 3.0 14.0 61.0 50 45
E 1436.245798546 55.0 55.0 22.0 50 45
H 1436.249478586 3.0 13.0 62.0 50 45
E 1436.294800856 56.0 52.0 19.0 50 45
H 1436.298478838 3.0 12.0 60.0 50 45
E 1436.343803348 56.0 49.0 17.0 50 45
H 1436.347480322 3.0 12.0 59.0 50 45
E 1436.392919842 56.0 52.0 16.0 50 45
H 1436.396816154 3.0 13.0 58.0 50 45
E 1436.451608192 56.0 59.0 15.0 50 45
H 1436.455287308 3.0 13.0 56.0 50 45
E 1436.500610222 56.0 65.0 15.0 50 45
H 1436.504285222 3.0 13.0 53.0 50 45
E 1436.549612644 56.0 73.0 14.0 50 45
H 1436.553292264 3.0 13.0 49.0 50 45
E 1436.598729068 58.0 80.0 15.0 50 45
H 1436.602636524 3.0 13.0 48.0 50 45
E 1436.657417488 62.0 87.0 15.0 50 45
H 1436.661097262 3.0 13.0 47.0 50 45
E 1436.706419728 66.0 97.0 16.0 50 45
H 1436.710098326 3.0 13.0 47.0 50 45
E 1436.755421856 72.0 100.0 17.0 50 45
H 1436.759277988 3.0 13.0 47.0 50 45
E 1436.804538588 78.0 100.0 18.0 50 45
H 1436.808519922 3.0 13.0 46.0 50 45
E 1436.863226966 84.0 100.0 18.0 50 45
H 1436.867082678 3.0 12.0 44.0 50 45
E 1436.912229136 89.0 100.0 18.0 50 45
H 1436.916185802 3.0 12.0 42.0 50 45
E 1436.961231334 94.0 100.0 18.0 50 45
H 1436.965214404 3.0 11.0 40.0 50 45
E 1437.030348122 98.0 100.0 19.0 50 45
H 1437.034113492 3.0 11.0 39.0 50 45
E 1437.089036290 103.0 100.0 20.0 50 45
