device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T daq_value
H 1821.254238418 95.0 32.0 14.0 30 30 1806
E 1821.309112902 103.0 8.0 20.0 30 30 1807
H 1821.313040658 95.0 33.0 14.0 30 30 1810
E 1821.358229228 103.0 8.0 20.0 30 30 1813
H 1821.362060440 95.0 34.0 14.0 30 30 1815
E 1821.416919524 103.0 8.0 23.0 30 30 1818
H 1821.420508872 95.0 36.0 14.0 30 30 1816
E 1821.475722520 103.0 8.0 30.0 30 30 1820
H 1821.479313548 95.0 36.0 14.0 30 30 1822
E 1821.534525810 102.0 8.0 32.0 30 30 1822
H 1821.538116474 95.0 35.0 14.0 30 30 1824
E 1821.593442976 101.0 9.0 33.0 30 30 1824
H 1821.597370998 95.0 33.0 15.0 30 30 1823
E 1821.652133328 101.0 11.0 34.0 30 30 1821
H 1821.655999386 95.0 32.0 16.0 30 30 1799
E 1821.710933706 101.0 16.0 36.0 30 30 1791
H 1821.714895790 95.0 33.0 16.0 30 30 1777
E 1821.769739264 101.0 18.0 38.0 30 30 1778
H 1821.773604090 95.0 35.0 15.0 30 30 1774
E 1821.818997256 101.0 17.0 39.0 30 30 1772
H 1821.822764376 95.0 35.0 15.0 30 30 1773
E 1821.877670458 101.0 16.0 40.0 30 30 1770
H 1821.881436542 95.0 37.0 15.0 30 30 1770
E 1821.926548350 101.0 16.0 41.0 30 30 1770
H 1821.930442842 95.0 38.0 15.0 30 30 1767
E 1821.975693068 101.0 15.0 43.0 30 30 1771
H 1821.979460692 95.0 38.0 15.0 30 30 1768
E 1822.044668106 101.0 15.0 47.0 30 30 1770
H 1822.048441736 95.0 38.0 15.0 30 30 1767
E 1822.103356932 97.0 16.0 47.0 30 30 1772
H 1822.107229276 95.0 38.0 17.0 30 30 1773
E 1822.152361132 93.0 17.0 43.0 30 30 1774
H 1822.156234568 95.0 37.0 18.0 30 30 1776
E 1822.211163764 92.0 17.0 41.0 30 30 1777
H 1822.215037536 95.0 34.0 18.0 30 30 1778
E 1822.270080664 91.0 16.0 41.0 30 30 1780
H 1822.273855204 95.0 34.0 18.0 30 30 1780
E 1822.328769322 90.0 15.0 40.0 30 30 1778
H 1822.332689112 95.0 33.0 20.0 30 30 1779
E 1822.377773200 89.0 15.0 40.0 30 30 1780
H 1822.381645670 95.0 30.0 20.0 30 30 1779
E 1822.436576602 88.0 15.0 43.0 30 30 1780
H 1822.440449478 95.0 28.0 20.0 30 30 1780
E 1822.495492774 88.0 17.0 43.0 30 30 1779
H 1822.499269680 95.0 28.0 21.0 30 30 1778
E 1822.554180732 87.0 19.0 45.0 30 30 1777
H 1822.558099920 95.0 27.0 21.0 30 30 1777
E 1822.603185730 87.0 21.0 47.0 30 30 1777
H 1822.607057696 95.0 29.0 21.0 30 30 1777
E 1822.652188138 86.0 23.0 49.0 30 30 1777
H 1822.656061252 95.0 30.0 21.0 30 30 1777
E 1822.711659018 86.0 26.0 50.0 30 30 1777
H 1822.715335530 95.0 30.0 21.0 30 30 1777
E 1822.769921586 86.0 28.0 50.0 30 30 1775
H 1822.773841264 95.0 30.0 22.0 30 30 1775
E 1822.818922174 86.0 30.0 51.0 30 30 1776
H 1822.822698366 95.0 30.0 23.0 30 30 1777
E 1822.867928544 86.0 31.0 52.0 30 30 1776
H 1822.871705282 95.0 31.0 23.0 30 30 1777
E 1822.917186508 86.0 32.0 52.0 30 30 1777
H 1822.920863398 95.0 31.0 24.0 30 30 1777
E 1822.975608102 86.0 31.0 51.0 30 30 1774
H 1822.979510854 95.0 31.0 25.0 30 30 1774
E 1823.044607500 86.0 30.0 50.0 30 30 1775
H 1823.048514956 95.0 32.0 28.0 30 30 1776
E 1823.093613072 86.0 28.0 48.0 30 30 1778
H 1823.097526492 95.0 34.0 31.0 30 30 1778
E 1823.142727564 86.0 26.0 42.0 30 30 1778
H 1823.146533352 95.0 37.0 30.0 30 30 1778
E 1823.201561962 86.0 23.0 35.0 30 30 1778
H 1823.205464966 95.0 37.0 28.0 30 30 1778
E 1823.250421220 87.0 20.0 31.0 30 30 1777
H 1823.254563176 95.0 36.0 26.0 30 30 1777
E 1823.299424916 87.0 18.0 27.0 30 30 1777
H 1823.303298394 95.0 35.0 24.0 30 30 1777
E 1823.348541424 87.0 17.0 23.0 30 30 1776
H 1823.352319044 95.0 32.0 21.0 30 30 1776
E 1823.407230964 88.0 16.0 20.0 30 30 1776
H 1823.411149592 95.0 28.0 18.0 30 30 1775
E 1823.456233624 89.0 16.0 18.0 30 30 1775
H 1823.460105156 95.0 26.0 17.0 30 30 1775
E 1823.515036830 90.0 15.0 15.0 30 30 1775
H 1823.518908852 95.0 22.0 19.0 30 30 1775
E 1823.564294990 90.0 14.0 14.0 30 30 1775
H 1823.567972622 95.0 19.0 22.0 30 30 1775
E 1823.622843340 91.0 14.0 12.0 30 30 1774
H 1823.626763242 95.0 17.0 26.0 30 30 1774
E 1823.671846210 92.0 14.0 11.0 30 30 1775
H 1823.675859758 95.0 18.0 28.0 30 30 1774
E 1823.730649668 92.0 15.0 10.0 30 30 1775
H 1823.734520276 95.0 22.0 26.0 30 30 1775
E 1823.789565770 92.0 15.0 10.0 30 30 1775
H 1823.793342354 95.0 35.0 23.0 30 30 1775
E 1823.848401106 93.0 14.0 9.0 30 30 1775
E 1826.074320876 93.0 7.0 4.0 20 20 1775
H 1826.077559342 96.0 35.0 6.0 20 20 1775
E 1826.123292806 93.0 7.0 4.0 20 20 1775
H 1826.126761572 97.0 34.0 6.0 20 20 1776
E 1826.181983760 93.0 7.0 4.0 20 20 1775
H 1826.185454346 96.0 34.0 6.0 20 20 1775
E 1826.231077420 93.0 7.0 4.0 20 20 1775
H 1826.234401790 97.0 35.0 6.0 20 20 1775
E 1826.279991124 93.0 8.0 4.0 20 20 1775
H 1826.283437364 96.0 34.0 5.0 20 20 1775
E 1826.329107156 93.0 8.0 4.0 20 20 1775
H 1826.332434158 97.0 33.0 5.0 20 20 1775
E 1826.387938964 93.0 9.0 5.0 20 20 1776
H 1826.391263754 97.0 35.0 5.0 20 20 1776
E 1826.436800672 93.0 9.0 5.0 20 20 1776
H 1826.440268346 97.0 36.0 5.0 20 20 1776
E 1826.485891574 93.0 9.0 4.0 20 20 1776
H 1826.489218366 97.0 35.0 5.0 20 20 1774
E 1826.534918790 93.0 9.0 4.0 20 20 1775
H 1826.538329638 97.0 34.0 5.0 20 20 1775
E 1826.593609310 93.0 9.0 4.0 20 20 1775
H 1826.596935542 96.0 34.0 5.0 20 20 1775
E 1826.642756436 93.0 9.0 4.0 20 20 1774
H 1826.646083578 97.0 35.0 5.0 20 20 1775
