device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T daq_value
E 1850.623948752 3.0 21.0 100.0 30 30 1738
H 1850.627715802 97.0 81.0 23.0 30 30 1740
E 1850.672951202 2.0 22.0 100.0 30 30 1739
H 1850.676718042 97.0 81.0 22.0 30 30 1739
E 1850.722066884 2.0 21.0 100.0 30 30 1740
H 1850.726315044 97.0 81.0 21.0 30 30 1740
E 1850.780755962 3.0 21.0 100.0 30 30 1739
H 1850.784521850 97.0 82.0 19.0 30 30 1740
E 1850.829758216 4.0 21.0 98.0 30 30 1739
H 1850.833436590 97.0 84.0 18.0 30 30 1741
E 1850.878760624 3.0 20.0 90.0 30 30 1741
H 1850.882351288 97.0 85.0 16.0 30 30 1742
E 1850.927876824 3.0 19.0 83.0 30 30 1741
H 1850.931664174 97.0 84.0 15.0 30 30 1741
E 1851.006565202 3.0 18.0 79.0 30 30 1740
H 1851.010065230 97.0 81.0 14.0 30 30 1741
E 1851.055567694 3.0 17.0 76.0 30 30 1741
H 1851.059069346 97.0 80.0 13.0 30 30 1742
E 1851.104569766 3.0 17.0 73.0 30 30 1742
H 1851.108159646 97.0 80.0 13.0 30 30 1741
E 1851.153686372 3.0 17.0 72.0 30 30 1737
H 1851.157842902 97.0 80.0 12.0 30 30 1735
E 1851.212374806 3.0 17.0 69.0 30 30 1733
H 1851.216052116 97.0 83.0 12.0 30 30 1735
E 1851.261377060 3.0 16.0 69.0 30 30 1733
H 1851.264967094 97.0 84.0 12.0 30 30 1733
E 1851.310379258 3.0 16.0 69.0 30 30 1733
H 1851.314057156 97.0 82.0 11.0 30 30 1733
E 1851.359495570 3.0 15.0 71.0 30 30 1736
H 1851.363370756 97.0 84.0 11.0 30 30 1737
E 1851.418184326 3.0 15.0 72.0 30 30 1737
H 1851.421775494 97.0 84.0 11.0 30 30 1741
E 1851.467186426 3.0 14.0 69.0 30 30 1741
H 1851.470776418 97.0 83.0 11.0 30 30 1739
E 1851.516188750 3.0 14.0 67.0 30 30 1741
H 1851.519868734 97.0 82.0 11.0 30 30 1742
E 1851.565305076 3.0 14.0 65.0 30 30 1743
H 1851.569089472 97.0 81.0 11.0 30 30 1741
E 1851.623993552 3.0 14.0 64.0 30 30 1741
H 1851.627584440 97.0 82.0 10.0 30 30 1741
E 1851.672995834 3.0 13.0 61.0 30 30 1741
H 1851.676674992 97.0 83.0 10.0 30 30 1739
E 1851.721997948 3.0 13.0 57.0 30 30 1741
H 1851.725589704 97.0 81.0 10.0 30 30 1741
E 1851.771114470 3.0 12.0 51.0 30 30 1742
H 1851.774990440 97.0 78.0 11.0 30 30 1743
E 1851.829803044 4.0 12.0 42.0 30 30 1742
H 1851.833481768 97.0 76.0 13.0 30 30 1743
E 1851.878805284 4.0 13.0 37.0 30 30 1743
H 1851.882396620 97.0 77.0 13.0 30 30 1743
E 1851.927807398 6.0 14.0 33.0 30 30 1743
H 1851.931398888 97.0 79.0 14.0 30 30 1743
E 1851.976923892 7.0 15.0 29.0 30 30 1743
H 1852.001140706 97.0 80.0 15.0 30 30 1742
E 1852.055612368 8.0 17.0 25.0 30 30 1742
H 1852.059257562 97.0 80.0 17.0 30 30 1741
E 1852.104614678 9.0 19.0 23.0 30 30 1741
H 1852.108202920 97.0 79.0 17.0 30 30 1742
E 1852.153616918 10.0 19.0 21.0 30 30 1743
H 1852.157384458 97.0 81.0 18.0 30 30 1741
E 1852.203482930 11.0 21.0 19.0 30 30 1741
H 1852.207303558 97.0 85.0 18.0 30 30 1741
E 1852.261421930 13.0 23.0 18.0 30 30 1742
H 1852.265101354 97.0 87.0 22.0 30 30 1740
E 1852.310423904 13.0 25.0 17.0 30 30 1743
H 1852.314245540 97.0 88.0 27.0 30 30 1742
E 1852.359426368 14.0 27.0 16.0 30 30 1743
H 1852.363106282 97.0 90.0 31.0 30 30 1745
E 1852.408543422 14.0 28.0 15.0 30 30 1744
H 1852.412697628 97.0 91.0 31.0 30 30 1749
E 1852.467231380 15.0 29.0 14.0 30 30 1749
H 1852.470998836 97.0 93.0 30.0 30 30 1751
E 1852.516233410 15.0 30.0 13.0 30 30 1753
H 1852.519912610 97.0 92.0 30.0 30 30 1751
E 1852.565235734 15.0 30.0 13.0 30 30 1752
H 1852.568915746 96.0 91.0 30.0 30 30 1752
E 1852.614352648 15.0 32.0 13.0 30 30 1753
H 1852.618553194 97.0 89.0 29.0 30 30 1753
E 1852.673040522 15.0 34.0 13.0 30 30 1757
H 1852.676719050 96.0 86.0 29.0 30 30 1761
E 1852.722042930 15.0 35.0 13.0 30 30 1764
H 1852.725721220 97.0 85.0 28.0 30 30 1765
E 1852.771045184 15.0 37.0 13.0 30 30 1770
H 1852.774953718 97.0 87.0 29.0 30 30 1770
E 1852.820162084 15.0 38.0 13.0 30 30 1772
H 1852.824036626 97.0 89.0 30.0 30 30 1777
E 1852.878850000 16.0 38.0 12.0 30 30 1775
H 1852.882528150 96.0 91.0 31.0 30 30 1780
E 1852.927852268 18.0 38.0 11.0 30 30 1781
H 1852.931532406 97.0 92.0 31.0 30 30 1780
E 1852.976854550 19.0 39.0 11.0 30 30 1781
H 1853.000533946 97.0 94.0 32.0 30 30 1783
E 1853.045970960 21.0 40.0 12.0 30 30 1783
H 1853.049757204 96.0 94.0 32.0 30 30 1782
E 1853.104659422 22.0 41.0 12.0 30 30 1778
H 1853.108337124 97.0 90.0 32.0 30 30 1777
E 1853.153661676 23.0 42.0 12.0 30 30 1774
H 1853.157341478 97.0 90.0 32.0 30 30 1776
E 1853.202663986 27.0 45.0 13.0 30 30 1775
H 1853.206342696 96.0 91.0 32.0 30 30 1770
E 1853.251780914 31.0 47.0 13.0 30 30 1768
H 1853.256041898 97.0 90.0 31.0 30 30 1772
E 1853.310468788 36.0 46.0 13.0 30 30 1773
H 1853.314337576 97.0 90.0 31.0 30 30 1774
E 1853.359471112 40.0 44.0 13.0 30 30 1777
H 1853.363151222 96.0 88.0 31.0 30 30 1772
E 1853.408473226 43.0 42.0 13.0 30 30 1776
H 1853.412151698 97.0 88.0 30.0 30 30 1775
E 1853.457589650 45.0 42.0 13.0 30 30 1775
H 1853.461788460 97.0 88.0 30.0 30 30 1776
E 1853.516278238 46.0 41.0 13.0 30 30 1776
H 1853.519957704 96.0 85.0 29.0 30 30 1774
E 1853.565280492 47.0 41.0 13.0 30 30 1776
H 1853.568960140 97.0 84.0 29.0 30 30 1775
E 1853.614282886 49.0 44.0 13.0 30 30 1776
H 1853.618050664 97.0 88.0 28.0 30 30 1776
E 1853.663399170 51.0 46.0 13.0 30 30 1778
H 1853.667274426 97.0 92.0 27.0 30 30 1775
E 1853.722087688 56.0 46.0 13.0 30 30 1778
H 1853.725766468 97.0 94.0 26.0 30 30 1775
E 1853.771089774 60.0 45.0 14.0 30 30 1774
H 1853.774869564 96.0 94.0 25.0 30 30 1774
E 1853.820092000 63.0 46.0 14.0 30 30 1777
H 1853.823768652 97.0 90.0 25.0 30 30 1777
E 1853.869209040 67.0 47.0 14.0 30 30 1778
H 1853.873083204 97.0 86.0 25.0 30 30 1779
E 1853.927897040 72.0 48.0 14.0 30 30 1778
H 1853.931576268 97.0 83.0 26.0 30 30 1778
E 1853.976899294 75.0 48.0 15.0 30 30 1778
H 1854.000668290 97.0 83.0 27.0 30 30 1778
E 1854.045901506 78.0 48.0 15.0 30 30 1779
H 1854.049491148 97.0 84.0 28.0 30 30 1779
E 1854.095018532 82.0 49.0 16.0 30 30 1778
H 1854.098903336 97.0 82.0 28.0 30 30 1780
E 1854.153706476 85.0 50.0 15.0 30 30 1780
H 1854.157488002 96.0 83.0 26.0 30 30 1780
E 1854.202708856 88.0 49.0 15.0 30 30 1780
H 1854.206386782 97.0 88.0 24.0 30 30 1781
E 1854.251710858 91.0 50.0 15.0 30 30 1782
H 1854.255390030 97.0 92.0 24.0 30 30 1784
E 1854.301665952 94.0 52.0 16.0 30 30 1783
H 1854.305445714 97.0 93.0 23.0 30 30 1784
E 1854.359515898 97.0 53.0 17.0 30 30 1784
H 1854.363195686 97.0 98.0 24.0 30 30 1784
E 1854.408518054 100.0 53.0 17.0 30 30 1780
H 1854.412385442 97.0 100.0 24.0 30 30 1780
E 1854.457520336 102.0 52.0 16.0 30 30 1779
H 1854.461287918 97.0 100.0 24.0 30 30 1776
E 1854.506637418 104.0 51.0 16.0 30 30 1774
H 1854.510600538 97.0 99.0 23.0 30 30 1774
E 1854.565325208 106.0 50.0 16.0 30 30 1774
H 1854.569092468 97.0 98.0 23.0 30 30 1774
E 1854.614327476 108.0 50.0 16.0 30 30 1776
H 1854.618183034 97.0 98.0 22.0 30 30 1777
E 1854.663329758 109.0 50.0 16.0 30 30 1777
H 1854.667097438 97.0 100.0 23.0 30 30 1777
E 1854.712445720 110.0 50.0 15.0 30 30 1777
H 1854.716706536 97.0 100.0 23.0 30 30 1777
E 1854.771134728 111.0 50.0 16.0 30 30 1776
H 1854.774902534 97.0 100.0 23.0 30 30 1777
E 1854.820136954 112.0 50.0 16.0 30 30 1777
H 1854.823903976 97.0 100.0 24.0 30 30 1778
E 1854.869139110 113.0 50.0 16.0 30 30 1777
H 1854.873006988 97.0 100.0 24.0 30 30 1778
E 1854.918254498 113.0 49.0 16.0 30 30 1778
H 1854.922603738 97.0 100.0 25.0 30 30 1777
E 1854.976944080 114.0 51.0 17.0 30 30 1778
H 1855.000712460 97.0 100.0 25.0 30 30 1777
E 1855.045946292 114.0 52.0 18.0 30 30 1778
H 1855.049726236 97.0 100.0 25.0 30 30 1780
E 1855.094948630 114.0 53.0 18.0 30 30 1779
H 1855.098714840 97.0 100.0 26.0 30 30 1777
E 1855.144064032 115.0 53.0 17.0 30 30 1777
H 1855.148026018 97.0 99.0 26.0 30 30 1778
E 1855.202753418 114.0 52.0 16.0 30 30 1777
H 1855.206520384 97.0 96.0 27.0 30 30 1778
E 1855.251755602 115.0 51.0 16.0 30 30 1778
H 1855.255522708 97.0 94.0 27.0 30 30 1777
E 1855.300757940 116.0 48.0 16.0 30 30 1777
H 1855.304523240 97.0 93.0 28.0 30 30 1777
E 1855.349874518 116.0 46.0 15.0 30 30 1775
H 1855.354132744 97.0 92.0 28.0 30 30 1772
E 1855.408562882 116.0 45.0 14.0 30 30 1763
H 1855.412431152 97.0 91.0 27.0 30 30 1763
E 1855.457565164 116.0 45.0 14.0 30 30 1764
H 1855.461420890 97.0 91.0 27.0 30 30 1759
E 1855.506567236 116.0 44.0 14.0 30 30 1761
H 1855.510334650 97.0 89.0 27.0 30 30 1764
E 1855.555683800 116.0 43.0 13.0 30 30 1770
H 1855.559944084 97.0 86.0 27.0 30 30 1770
E 1855.614372248 116.0 42.0 12.0 30 30 1772
H 1855.618139956 97.0 84.0 26.0 30 30 1774
E 1855.663374656 115.0 42.0 13.0 30 30 1774
H 1855.667142112 97.0 85.0 27.0 30 30 1777
E 1855.712376812 114.0 41.0 13.0 30 30 1778
H 1855.716271528 97.0 86.0 28.0 30 30 1778
E 1855.761493320 114.0 41.0 13.0 30 30 1780
H 1855.765866934 97.0 84.0 28.0 30 30 1779
E 1855.820181824 114.0 42.0 13.0 30 30 1784
H 1855.824037074 97.0 85.0 28.0 30 30 1786
E 1855.869184008 114.0 43.0 13.0 30 30 1791
H 1855.873049828 97.0 89.0 28.0 30 30 1792
E 1855.918186094 115.0 44.0 13.0 30 30 1799
H 1855.921953900 97.0 93.0 29.0 30 30 1796
E 1855.967302560 115.0 46.0 14.0 30 30 1795
H 1855.971548046 97.0 97.0 30.0 30 30 1797
E 1856.045991134 116.0 49.0 14.0 30 30 1797
H 1856.049669704 97.0 97.0 29.0 30 30 1796
E 1856.094993290 116.0 49.0 14.0 30 30 1796
H 1856.098668920 97.0 96.0 29.0 30 30 1794
E 1856.143995502 116.0 48.0 14.0 30 30 1795
H 1856.147851004 97.0 95.0 29.0 30 30 1794
E 1856.193112150 116.0 45.0 14.0 30 30 1797
H 1856.197462552 97.0 91.0 30.0 30 30 1795
E 1856.251800584 116.0 44.0 14.0 30 30 1798
H 1856.255669190 97.0 89.0 32.0 30 30 1800
E 1856.300802908 116.0 43.0 13.0 30 30 1799
H 1856.304567942 97.0 88.0 33.0 30 30 1802
E 1856.349804966 116.0 43.0 13.0 30 30 1803
H 1856.353572086 97.0 88.0 35.0 30 30 1804
E 1856.399670306 116.0 45.0 14.0 30 30 1805
H 1856.403538940 97.0 89.0 35.0 30 30 1804
E 1856.457609908 116.0 47.0 15.0 30 30 1804
H 1856.461465424 97.0 91.0 37.0 30 30 1805
E 1856.506612232 116.0 47.0 15.0 30 30 1805
H 1856.510480334 97.0 94.0 38.0 30 30 1807
E 1856.555614220 116.0 47.0 15.0 30 30 1807
H 1856.559381858 97.0 94.0 38.0 30 30 1805
E 1856.604729594 116.0 48.0 15.0 30 30 1803
H 1856.608978076 97.0 93.0 38.0 30 30 1793
E 1856.663419442 116.0 48.0 14.0 30 30 1792
H 1856.667186912 97.0 95.0 38.0 30 30 1790
E 1856.712421486 117.0 47.0 14.0 30 30 1790
H 1856.716188886 97.0 96.0 37.0 30 30 1788
E 1856.761423838 117.0 46.0 13.0 30 30 1780
H 1856.765280124 97.0 95.0 36.0 30 30 1780
E 1856.810540276 117.0 45.0 13.0 30 30 1776
H 1856.814880654 97.0 94.0 37.0 30 30 1766
E 1856.869228808 117.0 45.0 13.0 30 30 1765
H 1856.873097456 97.0 92.0 38.0 30 30 1762
E 1859.516547094 6.0 13.0 51.0 20 20 1739
H 1859.520137856 96.0 86.0 34.0 20 20 1736
E 1859.565661194 3.0 13.0 52.0 20 20 1737
H 1859.569567404 96.0 87.0 34.0 20 20 1738
E 1859.624351966 3.0 13.0 53.0 20 20 1739
H 1859.627943330 96.0 89.0 36.0 20 20 1738
E 1859.673354122 3.0 13.0 52.0 20 20 1739
H 1859.676945542 96.0 92.0 37.0 20 20 1738
E 1859.722356236 3.0 12.0 52.0 20 20 1739
H 1859.725948272 96.0 91.0 40.0 20 20 1739
E 1859.771472282 3.0 12.0 51.0 20 20 1739
H 1859.775345984 96.0 89.0 44.0 20 20 1739
E 1859.830161220 3.0 12.0 48.0 20 20 1741
H 1859.833751660 96.0 88.0 53.0 20 20 1742
E 1859.879163432 3.0 12.0 46.0 20 20 1742
H 1859.882755258 96.0 87.0 61.0 20 20 1740
E 1859.928165826 3.0 12.0 44.0 20 20 1742
H 1859.931845866 96.0 86.0 64.0 20 20 1740
E 1859.977281578 3.0 12.0 42.0 20 20 1739
H 1860.000993286 96.0 84.0 63.0 20 20 1739
E 1860.055970726 3.0 11.0 42.0 20 20 1739
H 1860.059472112 96.0 82.0 64.0 20 20 1739
E 1860.104972868 3.0 11.0 42.0 20 20 1740
H 1860.108562748 96.0 81.0 62.0 20 20 1741
E 1860.153975108 3.0 10.0 41.0 20 20 1741
H 1860.157565814 95.0 79.0 58.0 20 20 1741
E 1860.203090958 3.0 10.0 40.0 20 20 1741
H 1860.206768590 96.0 79.0 53.0 20 20 1741
E 1860.261780092 3.0 10.0 38.0 20 20 1740
H 1860.265488762 96.0 78.0 48.0 20 20 1741
E 1860.310782276 3.0 9.0 36.0 20 20 1740
H 1860.314196386 96.0 79.0 44.0 20 20 1740
E 1860.359784488 3.0 9.0 34.0 20 20 1740
H 1860.363199900 96.0 84.0 41.0 20 20 1740
E 1860.408900394 3.0 8.0 33.0 20 20 1740
H 1860.412313874 96.0 85.0 38.0 20 20 1741
E 1860.467589486 3.0 8.0 30.0 20 20 1741
H 1860.471093364 96.0 83.0 36.0 20 20 1741
E 1860.516591852 3.0 7.0 28.0 20 20 1741
H 1860.520123884 96.0 82.0 34.0 20 20 1740
E 1860.565594078 3.0 7.0 26.0 20 20 1740
H 1860.569008762 96.0 81.0 31.0 20 20 1740
E 1860.615459726 3.0 6.0 24.0 20 20 1741
H 1860.619099390 96.0 79.0 27.0 20 20 1740
E 1860.673399006 3.0 6.0 23.0 20 20 1740
H 1860.676813354 96.0 77.0 23.0 20 20 1739
E 1860.722401176 3.0 6.0 22.0 20 20 1738
H 1860.725816294 96.0 76.0 21.0 20 20 1737
E 1860.771403556 3.0 6.0 21.0 20 20 1739
H 1860.774816294 96.0 77.0 19.0 20 20 1735
E 1860.820519308 3.0 5.0 21.0 20 20 1734
H 1860.824052082 96.0 78.0 17.0 20 20 1732
E 1860.879208358 4.0 5.0 20.0 20 20 1732
H 1860.882747978 96.0 77.0 15.0 20 20 1731
E 1860.928210514 4.0 5.0 19.0 20 20 1732
H 1860.931624624 96.0 75.0 14.0 20 20 1731
E 1860.977212768 4.0 5.0 18.0 20 20 1731
H 1861.000625828 96.0 77.0 13.0 20 20 1732
E 1861.046328576 4.0 5.0 18.0 20 20 1732
H 1861.049654836 96.0 80.0 12.0 20 20 1733
E 1861.105017738 4.0 5.0 16.0 20 20 1733
H 1861.108547236 96.0 82.0 12.0 20 20 1736
E 1861.154019978 4.0 5.0 14.0 20 20 1735
H 1861.157564806 96.0 82.0 11.0 20 20 1736
E 1861.203022190 4.0 5.0 13.0 20 20 1737
H 1861.206435334 96.0 84.0 10.0 20 20 1736
E 1861.252137858 4.0 6.0 12.0 20 20 1737
H 1861.255553704 96.0 85.0 10.0 20 20 1737
E 1861.310826992 5.0 8.0 11.0 20 20 1737
H 1861.314239100 96.0 83.0 9.0 20 20 1737
E 1861.359829344 6.0 9.0 10.0 20 20 1737
H 1861.363363532 96.0 82.0 9.0 20 20 1737
E 1861.408831500 6.0 10.0 10.0 20 20 1737
H 1861.412564488 96.0 85.0 10.0 20 20 1736
E 1861.457946776 8.0 12.0 10.0 20 20 1736
H 1861.461537608 96.0 87.0 11.0 20 20 1736
E 1861.516636428 9.0 14.0 10.0 20 20 1736
H 1861.520227750 96.0 89.0 11.0 20 20 1736
E 1861.565638892 9.0 16.0 9.0 20 20 1736
H 1861.569054080 96.0 89.0 12.0 20 20 1735
E 1861.614641020 10.0 18.0 9.0 20 20 1736
H 1861.618262176 96.0 89.0 13.0 20 20 1735
E 1861.663756114 11.0 20.0 10.0 20 20 1735
H 1861.667577932 96.0 87.0 13.0 20 20 1736
E 1861.722445892 13.0 22.0 10.0 20 20 1736
H 1861.726122796 96.0 87.0 13.0 20 20 1737
E 1861.771448244 13.0 24.0 10.0 20 20 1737
H 1861.775125750 96.0 86.0 13.0 20 20 1737
E 1861.820450456 14.0 26.0 10.0 20 20 1739
H 1861.824128970 96.0 85.0 14.0 20 20 1741
E 1861.869565620 15.0 28.0 11.0 20 20 1742
H 1861.873363344 96.0 84.0 14.0 20 20 1744
E 1861.928255342 15.0 30.0 11.0 20 20 1744
H 1861.932075564 96.0 86.0 14.0 20 20 1746
E 1861.977257540 16.0 32.0 12.0 20 20 1746
H 1862.000937454 96.0 90.0 14.0 20 20 1745
E 1862.046259780 19.0 33.0 12.0 20 20 1749
H 1862.049849394 96.0 93.0 15.0 20 20 1750
E 1862.095375140 23.0 34.0 12.0 20 20 1751
H 1862.098965020 96.0 92.0 15.0 20 20 1752
E 1862.154064722 28.0 35.0 12.0 20 20 1753
H 1862.157861830 96.0 89.0 15.0 20 20 1753
E 1862.203067228 32.0 35.0 11.0 20 20 1754
H 1862.206846346 96.0 86.0 14.0 20 20 1755
E 1862.252069244 35.0 35.0 11.0 20 20 1754
H 1862.255748010 96.0 84.0 14.0 20 20 1753
E 1862.301184548 39.0 36.0 11.0 20 20 1755
H 1862.304862936 96.0 82.0 13.0 20 20 1757
E 1862.359874186 44.0 38.0 12.0 20 20 1757
H 1862.363554534 96.0 77.0 12.0 20 20 1756
E 1862.408876342 47.0 38.0 12.0 20 20 1758
H 1862.412673016 96.0 73.0 12.0 20 20 1757
E 1862.457878708 51.0 37.0 11.0 20 20 1757
H 1862.461659030 96.0 71.0 12.0 20 20 1758
E 1862.506993858 55.0 36.0 11.0 20 20 1758
H 1862.510673002 96.0 67.0 12.0 20 20 1758
E 1862.565683650 59.0 35.0 11.0 20 20 1758
H 1862.569362864 97.0 62.0 11.0 20 20 1758
E 1862.614685778 62.0 34.0 11.0 20 20 1758
H 1862.618365048 97.0 58.0 11.0 20 20 1761
E 1862.663688032 65.0 33.0 11.0 20 20 1760
H 1862.667485714 96.0 54.0 11.0 20 20 1765
E 1862.713655040 67.0 32.0 10.0 20 20 1766
H 1862.717334324 97.0 50.0 11.0 20 20 1767
E 1862.771492876 71.0 31.0 10.0 20 20 1766
H 1862.775172762 97.0 48.0 12.0 20 20 1766
E 1862.820495130 73.0 32.0 10.0 20 20 1771
H 1862.824173196 97.0 47.0 12.0 20 20 1770
E 1862.869497300 76.0 33.0 11.0 20 20 1767
H 1862.873176206 96.0 44.0 13.0 20 20 1771
E 1862.918612730 78.0 35.0 11.0 20 20 1771
H 1862.922410874 96.0 40.0 13.0 20 20 1770
E 1862.977302354 82.0 36.0 12.0 20 20 1771
H 1863.001084398 97.0 35.0 15.0 20 20 1772
E 1863.046304552 84.0 37.0 12.0 20 20 1772
H 1863.049894068 97.0 32.0 17.0 20 20 1773
E 1863.095306736 87.0 38.0 12.0 20 20 1771
H 1863.098896364 96.0 28.0 19.0 20 20 1770
E 1863.144422208 90.0 38.0 12.0 20 20 1772
H 1863.148101072 96.0 26.0 20.0 20 20 1772
E 1863.203111818 93.0 38.0 12.0 20 20 1773
H 1863.206914736 96.0 25.0 22.0 20 20 1773
E 1863.252113960 95.0 37.0 12.0 20 20 1774
H 1863.255894730 96.0 24.0 24.0 20 20 1774
E 1863.301116116 97.0 36.0 12.0 20 20 1774
H 1863.304795568 96.0 26.0 27.0 20 20 1775
E 1863.350231602 99.0 34.0 13.0 20 20 1774
H 1863.353910872 96.0 39.0 27.0 20 20 1774
E 1863.408921128 101.0 33.0 13.0 20 20 1775
H 1863.412687982 96.0 61.0 27.0 20 20 1774
E 1863.457923452 102.0 33.0 13.0 20 20 1772
H 1863.461780200 97.0 73.0 28.0 20 20 1771
E 1863.506925608 104.0 34.0 12.0 20 20 1770
H 1863.510793780 96.0 82.0 28.0 20 20 1767
E 1863.556042228 105.0 33.0 12.0 20 20 1763
H 1863.559809138 97.0 89.0 29.0 20 20 1762
E 1863.614730452 106.0 33.0 12.0 20 20 1760
H 1863.618498678 97.0 96.0 30.0 20 20 1760
E 1863.663732734 106.0 33.0 13.0 20 20 1760
H 1863.667500414 97.0 100.0 31.0 20 20 1759
E 1863.712735086 107.0 34.0 13.0 20 20 1761
H 1863.716588404 97.0 100.0 33.0 20 20 1761
E 1863.761851678 108.0 34.0 14.0 20 20 1760
H 1863.765720676 97.0 100.0 35.0 20 20 1760
E 1863.820539846 110.0 35.0 14.0 20 20 1759
H 1863.824306756 97.0 100.0 35.0 20 20 1759
E 1863.869542058 110.0 36.0 14.0 20 20 1756
H 1863.873309766 97.0 100.0 36.0 20 20 1754
E 1863.918544466 111.0 37.0 15.0 20 20 1756
H 1863.922307414 97.0 100.0 36.0 20 20 1761
E 1863.967659336 112.0 36.0 14.0 20 20 1762
H 1863.971515188 97.0 100.0 35.0 20 20 1757
E 1864.046349464 112.0 36.0 14.0 20 20 1757
H 1864.050128288 97.0 100.0 33.0 20 20 1761
E 1864.095351536 112.0 35.0 14.0 20 20 1765
H 1864.099030526 97.0 100.0 32.0 20 20 1767
E 1864.144353860 112.0 34.0 14.0 20 20 1772
H 1864.148121400 97.0 97.0 31.0 20 20 1775
E 1864.193468702 112.0 33.0 14.0 20 20 1778
H 1864.197233694 97.0 94.0 30.0 20 20 1778
E 1864.252158872 112.0 31.0 13.0 20 20 1781
H 1864.256015130 97.0 90.0 30.0 20 20 1786
E 1864.301161028 111.0 31.0 13.0 20 20 1785
H 1864.305054694 96.0 87.0 31.0 20 20 1787
E 1864.350163254 111.0 30.0 13.0 20 20 1787
H 1864.353929814 97.0 85.0 31.0 20 20 1787
E 1864.399278180 111.0 30.0 13.0 20 20 1788
H 1864.403046070 97.0 83.0 32.0 20 20 1788
E 1864.457968014 111.0 30.0 13.0 20 20 1787
H 1864.461735106 97.0 83.0 33.0 20 20 1790
E 1864.506970352 111.0 30.0 12.0 20 20 1790
H 1864.510825672 97.0 82.0 33.0 20 20 1790
