"device type" time pose "pose - last_pose" vel "comanded vel" "Nocap C_vel"
H 1406.641921014 6.0 0.0 0.0 0 0
E 1406.687420118 60.0 0.0 81.62903806097701 299.8 100
H 1406.690922946 6.0 0.0 0.0 0 0
E 1406.736422414 63.0 0.0 61.22162112592288 309.79333333333335 100
H 1406.739920454 6.0 0.0 0.0 0 0
E 1406.786091614 66.0 0.0 60.39960377841307 329.78000000000003 100
H 1406.789793732 7.0 0.0 20.0508175941634 59.96000000000001 59.96000000000001
E 1406.844227482 70.0 0.0 68.80433951732344 349.7666666666667 100
H 1406.847730380 11.0 0.0 69.04092898145456 100 100
E 1406.893229414 73.0 0.0 61.2220758969132 379.74666666666667 100
H 1406.896732718 16.0 0.0 102.0359477540901 100 100
E 1406.942231878 77.0 0.0 81.62854831125267 389.74 100
H 1406.945735294 21.0 0.0 102.03545217700146 100 100
E 1407.011347770 80.0 0.0 43.40535748282538 389.74 100
H 1407.014761124 26.0 0.0 72.43665161301483 100 100
E 1407.070036890 85.0 0.0 85.19466640487076 399.73333333333335 100
H 1407.073550064 34.0 0.0 136.08001777178842 100 100
E 1407.119039046 88.0 0.0 61.221796036998974 409.7266666666667 100
H 1407.122642940 42.0 0.0 162.95643384174235 100 100
E 1407.168041314 91.0 0.0 61.22165610771726 429.71333333333337 100
H 1407.171544394 50.0 0.0 163.594317666358 100 100
E 1407.217157388 94.0 0.0 61.07980047423135 469.6866666666667 100
H 1407.220661266 58.0 0.0 162.87682163468884 100 100
E 1407.275846466 99.0 0.0 85.19472737323169 509.66 100
H 1407.279349798 67.0 0.0 153.35193594516247 100 100
E 1407.324848608 102.0 0.0 61.22181352827518 549.6333333333333 100
H 1407.328536404 73.0 0.0 121.98442803737315 100 100
E 1407.373850554 106.0 0.0 81.62941120731611 589.6066666666667 100
H 1407.377541780 78.0 0.0 102.02962221947324 100 100
E 1407.422967174 109.0 0.0 61.079121486842304 599.6 100
H 1407.426557768 82.0 0.0 81.60602618057442 100 100
E 1407.481655636 113.0 0.0 68.15649726861942 629.58 100
H 1407.485334542 87.0 0.0 85.06761531370435 100 100
E 1407.530657778 116.0 0.0 61.2218135279911 639.5733333333334 100
H 1407.534332820 90.0 0.0 61.226641475034164 100 100
E 1407.579660032 118.0 0.0 40.81444906594234 619.5866666666667 100
