10.0 10.0
3, 100.00, 100.00, 15, 15, 60, 1.67, 20, 1, 0, 0, 1, 10, 1000, 50
H,2152.178388518,77,213,100,100,12,293,0,-3.26171875,-2.8515625
E,2152.233416134,23,14,23,14,79,293,0,-3.26171875,-2.841796875
H,2152.237181308,84,232,100,100,12,293,0,-3.26171875,-2.802734375
E,2152.292218878,23,13,23,13,79,293,0,-3.26171875,-2.8125
H,2152.296017470,89,230,100,100,12,293,0,-3.26171875,-2.880859375
E,2152.341334938,24,13,24,13,79,293,0,-3.26171875,-2.919921875
H,2152.345130856,86,221,100,100,12,293,0,-3.26171875,-2.9296875
E,2152.400023792,25,12,25,12,79,515,0,-3.26171875,-3.037109375
H,2152.403786460,79,205,100,100,12,515,0,-3.26171875,-3.06640625
E,2152.458841810,28,12,28,12,79,515,0,-3.26171875,-3.154296875
H,2152.462607082,75,188,100,100,12,515,0,-3.26171875,-3.154296875
E,2152.507828888,33,12,33,12,78,515,0,-3.26171875,-3.125
H,2152.511626878,75,177,100,100,12,515,0,-3.26171875,-3.125
E,2152.566745354,39,14,39,14,76,515,0,-3.26171875,-3.076171875
H,2152.570413158,74,168,99,100,12,515,0,-3.251953125,-3.10546875
E,2152.625434250,41,15,41,15,74,515,0,-3.2421875,-3.056640625
H,2152.629296108,71,157,95,100,12,515,0,-3.2421875,-3.017578125
E,2152.674436420,44,15,44,15,71,515,0,-3.22265625,-2.94921875
H,2152.678202014,68,147,91,100,12,515,0,-3.193359375,-2.96875
E,2152.733241838,49,15,49,15,68,515,0,-3.18359375,-2.900390625
H,2152.737007208,65,139,87,100,12,515,0,-3.154296875,-2.919921875
E,2152.782355168,52,15,52,15,64,515,0,-3.154296875,-2.919921875
H,2152.786020480,65,131,87,100,12,515,0,-3.154296875,-2.919921875
E,2152.841043952,53,15,53,15,61,515,0,-3.1640625,-2.939453125
H,2152.844808734,66,120,89,100,12,515,0,-3.154296875,-3.037109375
E,2152.899846640,47,15,47,15,58,515,0,-3.154296875,-3.056640625
H,2152.903710654,65,108,87,100,12,515,0,-3.18359375,-3.10546875
E,2152.948848880,42,16,42,16,56,515,0,-3.22265625,-3.125
H,2152.952647178,64,98,86,100,12,515,0,-3.212890625,-3.134765625
E,2153.027765444,38,18,38,18,55,515,0,-3.22265625,-3.134765625
