device_type,time,pose,Bi_cl_effort,Tr_op_effort,Bi_cl_E_T,Tr_op_E_T,IMU_id_E,accl_x_E,accl_y_E,accl_z_E,gyro_x_E,gyro_y_E,gyro_z_E,mag_x_E,mag_y_E,mag_z_E,device_type_H,time_H,pose_H,Cl_cl_effort,Op_op_effort,Cl_cl_E_T,Op_op_E_T,IMU_id_H,accl_x_H,accl_y_H,accl_z_H,gyro_x_H,gyro_y_H,gyro_z_H,mag_x_H,mag_y_H,mag_z_H
E,6360.051574824,102.0,39.0,17.0,15,20,5605.0,9.282346709229554,2.528505876215963,2.789798630927171,0.07148045987371414,-0.008526179375326978,0.0634859581904086,-34.38885075661798,-11.659263869124095,-27.954954147338867,H,6360.055446692,87.0,100.0,40.0,15,20,3486.0,6.647625738171019,4.389012257207238,5.5930374025398315,0.025972411226022035,0.07671264560317911,0.09071367866618676,-20.636822028790547,-20.0323486328125,-38.41874519981893
E,6360.100730980,102.0,35.0,16.0,15,20,5605.0,9.177202579169615,2.5040913667496913,2.9250554304668683,0.08248929063488009,0.015110373939956834,0.06734541226037713,-34.47430238002181,-11.71851190863216,-27.954954147338867,H,6360.104487334,87.0,100.0,36.0,15,20,3486.0,6.5928979370451195,4.361896495115921,5.620806080954416,0.02005853645143009,0.04138703661442902,0.09832620510857226,-20.76183919862668,-20.0323486328125,-38.30888638298632
E,6360.159379822,101.0,30.0,14.0,15,20,5605.0,9.004126490055025,2.495627247019277,3.0036180272353192,0.09437679815605907,0.027771843597292897,0.07389209577597988,-34.55975516199776,-11.60115650474346,-27.954954147338867,H,6360.163239314,89.0,100.0,32.0,15,20,3486.0,6.61730937747843,4.320523931695154,5.65588977228872,0.013077224260098358,0.008514835551669066,0.10975977683467025,-20.801414489746094,-20.130629709623097,-38.31041817119551
E,6360.218182524,101.0,26.0,14.0,15,20,5605.0,8.817888814539698,2.534410343453351,3.0518507957458496,0.1013360982614169,0.021725522599085396,0.07830194824810417,-34.60798645019531,-11.474373181376158,-27.997477256426293,H,6360.222135760,89.0,100.0,30.0,15,20,3486.0,6.681025036774228,4.3419662811056625,5.51625235851032,0.005027897085153287,-0.021389756520997394,0.12182136102023029,-20.801414489746094,-20.359573140610685,-38.29670571182181
E,6360.267184736,100.0,23.0,15.0,15,20,5605.0,8.691091354968787,2.559818410409516,3.0359070688959147,0.10114711888813538,0.0036553845500513415,0.08011108636856079,-34.57078563184294,-11.42081493850372,-28.015410655959712,H,6360.271189100,89.0,100.0,30.0,15,20,3486.0,6.850725132082758,4.317852043394516,5.492134552338846,0.0022143594538951506,-0.035248879343271255,0.12809967554692772,-20.84726360227789,-20.48402214050293,-38.18684792942783
E,6360.326101048,98.0,21.0,17.0,15,20,5605.0,8.621583313436552,2.501938025919645,3.047115963602823,0.10259291809862903,-0.017053720796780247,0.08057610957258124,-34.52253723144531,-11.488326022518761,-27.961846775967096,H,6360.329871136,89.0,100.0,28.0,15,20,3486.0,7.0237106178213375,4.187453419748356,5.600211771402491,0.006642698145080958,-0.027226284153461913,0.127682628135802,-20.9392593994668,-20.241707282498503,-38.25381057346655
E,6360.384790224,96.0,20.0,18.0,15,20,5605.0,8.594012260437012,2.4749436570727443,3.1044146639886048,0.10960457118009463,-0.03367816875682176,0.08257412570307568,-34.559733288397666,-11.627336540524883,-28.077173084115977,H,6360.388661966,89.0,100.0,29.0,15,20,3486.0,7.060651823660892,4.074610578028296,5.561251631837566,0.019925453863053035,-0.009982684464247516,0.13677117029991118,-20.94524157489692,-19.835927081590178,-38.48006000523681
E,6360.443690142,94.0,21.0,22.0,15,20,5605.0,8.615261315536547,2.4812684375895255,3.156969126674867,0.12066092290357089,-0.04737419428504812,0.08670781530572405,-34.60798645019531,-11.645298676592706,-28.2357234954834,H,6360.447462764,89.0,100.0,31.0,15,20,3486.0,6.978203867754914,4.014463322795379,5.4409573424596545,0.04258820587286737,-0.0010681478306651115,0.14992837655553437,-20.767252966378138,-19.718500852554314,-38.58760070800781
E,6360.502395390,93.0,23.0,26.0,15,20,5605.0,8.637530741489575,2.5067956767405066,3.187718194287519,0.13542564299863996,-0.05712492145244144,0.09111848806359926,-34.60267585257356,-11.63420851380453,-28.113576431059585,H,6360.506416344,89.0,100.0,29.0,15,20,3486.0,6.856131130459213,4.05074070651324,5.369485730049507,0.06822351563107291,-0.013097627879330564,0.16977507561639774,-20.636172812772013,-19.85543976894463,-38.52868055799898
E,6360.551554360,91.0,25.0,28.0,15,20,5605.0,8.678429103846923,2.5385881303870987,3.147372120215148,0.150427786712304,-0.06613463608779595,0.09246418411929207,-34.59577941894531,-11.756832640358159,-27.912469331074455,H,6360.555229864,89.0,100.0,26.0,15,20,3486.0,6.81916153607952,4.219514176714927,5.379572445712697,0.08354769924276924,-0.03323632441542154,0.1883809688995572,-20.77452242002082,-19.934690475463867,-38.35990840083687
