,time,psi_gyro_E,filtered_gyro_z_E,Bi_cl_effort,Tr_op_effort,Bi_cl_E_T,Tr_op_E_T,del_psi_gyro_E,del_gyro_z_deg_E,psi_gyro_H,filtered_gyro_z_H,Cl_cl_effort,Op_op_effort,Cl_cl_E_T,Op_op_E_T,del_psi_gyro_H,del_gyro_z_deg_H
1085,494.555589342,-3.9218225262022677,-27.736123705822266,21.0,37.0,50,25,-0.19115755731230344,0.3435436583901428,4.377368737315976,-91.61364236626085,65.0,40.0,50,25,-0.6602756628678064,0.7462142803387763
1086,494.614277356,-4.109451462456334,-27.382295156368755,21.0,39.0,50,25,-0.18762893625406596,0.3538285494535103,3.7246015003016666,-90.84698914291157,61.0,38.0,50,25,-0.6527672370143094,0.7666532233492802
1087,494.663279792,-4.298109120161594,-27.074650222188733,21.0,40.0,50,25,-0.1886576577052601,0.30764493418002203,3.0793426891409554,-90.06184122941313,60.0,43.0,50,25,-0.6452588111607112,0.7851479134984345
1088,494.712281962,-4.490596847918993,-26.842904883069576,21.0,39.0,50,25,-0.19248772775739909,0.23174533911915773,2.4415923038338527,-89.25995793171775,64.0,48.0,50,25,-0.6377503853071027,0.8018832976953831
1089,494.761398862,-4.681952516355965,-26.61942035827142,22.0,35.0,50,25,-0.19135566843697216,0.22348452479815606,1.8113503443802852,-88.44293120194786,74.0,56.0,50,25,-0.6302419594535675,0.8170267297698928
1090,494.82008689,-4.872626329722821,-26.40889252093494,23.0,31.0,50,25,-0.19067381336685596,0.21052783733647829,1.1886168107802904,-87.61220155789428,83.0,63.0,50,25,-0.6227335335999948,0.8307296440535765
1091,494.869089004,-5.059021574543861,-26.166295319814413,25.0,28.0,50,25,-0.18639524482103997,0.24259720112052818,0.5733917030338238,-86.76907248820929,83.0,64.0,50,25,-0.6152251077464665,0.8431290696849914
1092,494.918091398,-5.237003006533163,-25.844328657514527,26.0,26.0,50,25,-0.17798143198930205,0.3219666622998858,-0.03432497885910182,-85.91472348728703,82.0,63.0,50,25,-0.6077166818929256,0.8543490009222552
1093,494.967208214,-5.411805302198095,-25.514279916711615,25.0,23.0,50,25,-0.17480229566493222,0.330048740802912,-0.6345332348984214,-85.05022185021367,79.0,64.0,50,25,-0.6002082560393196,0.86450163707336
1094,495.045896242,-5.583087236985667,-25.172763157741645,25.0,21.0,50,25,-0.17128193478757137,0.3415167589699699,-1.2272330650842265,-84.1765333457093,78.0,67.0,50,25,-0.5926998301858051,0.8736885045043721
1095,495.094898608,-5.7495823101099335,-24.805448374017622,26.0,19.0,50,25,-0.16649507312426692,0.36731478372402293,-1.8124244694165024,-83.29453187382072,77.0,66.0,50,25,-0.5851914043322759,0.8820014718885858
1096,495.14390089,-5.913109127757719,-24.43693293139785,26.0,18.0,50,25,-0.1635268176477851,0.3685154426197741,-2.3901074478951747,-82.40500820492397,74.0,65.0,50,25,-0.5776829784786723,0.889523668896743
1097,495.193017636,-6.072532568448146,-24.05350981465333,28.0,17.0,50,25,-0.15942344069042758,0.3834231167445168,-2.9602820005203343,-81.50867788742188,72.0,64.0,50,25,-0.5701745526251596,0.8963303175020911
1098,495.251705692,-6.227268172988913,-23.649480745833873,30.0,15.0,50,25,-0.1547356045407673,0.4040290688194581,-3.522948127292033,-80.60618840323012,66.0,65.0,50,25,-0.5626661267716986,0.9024894841917614
